 
                                                                                                                                                                                                                                                                
 
ticker      evtdate       car
 ADM      04FEB2009    -0.05817
 ADM      04JAN2001     0.02498
 ADM      05SEP2003    -0.02252
 ADM      06OCT2008     0.02856
 ADM      07APR2009    -0.09741
 ADM      07JAN2013    -0.01925
 ADM      09SEP2002    -0.01359
 ADM      10MAY2011    -0.03902
 ADM      11NOV2002    -0.02304
 ADM      11NOV2010    -0.00491
 ADM      12JUL2002     0.01120
 ADM      12JUL2012    -0.01915
 ADM      12JUN2008    -0.15457
 ADM      14DEC2006    -0.01272
 ADM      15MAR2010    -0.00878
 ADM      18JUL2013     0.01892
 ADM      19JAN2011    -0.01057
 ADM      19JUL2010     0.00944
 ADM      22AUG2005     0.05768
 ADM      21MAY2009     0.02866
 ADM      24APR2007     0.00890
 ADM      26SEP2005     0.03901
 ADM      28JUL2006     0.01807
 ADM      29MAR2010     0.01392
 ADM      29OCT2010    -0.00664
 ADM      31JAN2005     0.02383
 ADM      31JAN2006     0.05142
 FISV     05DEC2005    -0.04971
 FISV     06APR2009    -0.00642
 FISV     06OCT2011     0.00006
 FISV     07NOV2001    -0.01706
 FISV     07OCT2002     0.07499
 FISV     08JAN2010    -0.01206
 FISV     08JUL2013    -0.00831
 FISV     09SEP2002    -0.00849
 FISV     10MAY2002     0.01953
 FISV     13AUG2012     0.01291
 FISV     15SEP2003    -0.01813
 FISV     15JAN2002     0.01368
 FISV     18MAR2002     0.00503
 FISV     21NOV2014    -0.00398
 FISV     22APR2004     0.09794
 FISV     22JAN2002     0.02375
 FISV     22OCT2001     0.04001
 FISV     23JUL2002    -0.07002
 FISV     27JUL2012     0.00345
 FISV     27JUN2011    -0.00748
 FISV     30APR2010    -0.03868
 FISV     31JAN2002    -0.03135
 BS       16OCT2001    -0.11367
 BS       20SEP2001    -0.04398
 HTLD     01DEC2005    -0.02509
 HTLD     03AUG2001    -0.02983
 HTLD     03NOV2004    -0.00382
 HTLD     06AUG2007    -0.00267
 HTLD     06MAY2011    -0.04726
 HTLD     07JAN2013    -0.01176
 HTLD     08APR2003     0.01091
 HTLD     08JUN2005    -0.04091
 HTLD     09SEP2002     0.01894
 HTLD     10AUG2011     0.01631
 HTLD     11NOV2010     0.00418
 HTLD     11OCT2001     0.03194
 HTLD     11SEP2006     0.06102
 HTLD     12JUN2009    -0.01904
 HTLD     12NOV2013     0.21387
 HTLD     12OCT2006    -0.00952
 HTLD     14JAN2008     0.03088
 HTLD     15APR2005     0.03587
 HTLD     16MAY2008    -0.00605
 HTLD     16NOV2011     0.00364
 HTLD     17JUL2003    -0.01250
 HTLD     18JAN2006     0.00357
 HTLD     18JUN2004    -0.01533
 HTLD     23JUN2003    -0.02093
 HTLD     23NOV2005    -0.01616
 HTLD     24FEB2003    -0.02741
 HTLD     24MAR2004     0.04164
 HTLD     24OCT2011    -0.01650
 HTLD     25JUL2006    -0.03634
 HTLD     27JUL2012     0.00904
 HTLD     27OCT2014     0.01083
 HTLD     28FEB2002    -0.07288
 HTLD     29JAN2007     0.03954
 BC       02NOV2009     0.07122
 BC       06JUN2003     0.08395
 BC       09SEP2002     0.00829
 BC       13JUL2006    -0.05821
 BC       13NOV2007    -0.01111
 BC       15SEP2003     0.01108
 BC       20MAR2008     0.01331
 BC       23FEB2001     0.01398
 BC       25JAN2007     0.08333
 BC       25SEP2002    -0.00844
 BC       26JAN2007     0.00715
 BC       29JAN2007    -0.00879
 BC       27JUN2001    -0.06148
 BC       28JUN2001    -0.02092
 CERN     03APR2003    -0.40628
 CERN     04FEB2009    -0.04457
 CERN     04SEP2014     0.00864
 CERN     07SEP2001     0.08967
 CERN     09SEP2002    -0.02873
 CERN     14FEB2011     0.00331
 CERN     14NOV2003    -0.13450
 CERN     15OCT2001    -0.04529
 CERN     17AUG2012    -0.04386
 CERN     18APR2002     0.04540
 CERN     18MAR2002     0.09283
 CERN     20AUG2002     0.03648
 CERN     22OCT2001    -0.01073
 CERN     22SEP2003     0.01276
 CERN     24JUL2013    -0.01022
 CERN     27JUL2012    -0.07601
 CERN     28JUN2002    -0.06691
 CERN     29APR2014     0.01892
 WBST     05AUG2002    -0.00182
 CMVT     01JUL2002     0.06203
 CMVT     02OCT2003     0.09951
 CMVT     05AUG2002    -0.04667
 CMVT     04JUN2002    -0.04509
 CMVT     06JUN2002     0.06043
 CMVT     07SEP2004    -0.01242
 CMVT     09SEP2002     0.05498
 CMVT     09SEP2003    -0.06442
 CMVT     13MAR2002    -0.06817
 CMVT     14MAR2006    -0.15207
 CMVT     27JUL2012     0.01981
 CDR      03DEC2014    -0.01455
 CHKM     01MAR2011     0.00498
 CHKM     03MAY2012    -0.02909
 CHKM     06JAN2012     0.00320
 CHKM     10OCT2011     0.00897
 CHKM     12MAY2011    -0.01560
 CHKM     12OCT2011    -0.04864
 CHKM     13FEB2012     0.01094
 CHKM     14JUN2012    -0.00197
 CHKM     17MAY2012     0.00154
 EPG      06AUG2007     0.05635
 EPG      05OCT2006     0.03693
 EPG      06OCT2006     0.04456
 EPG      09AUG2007    -0.06091
 EPG      11NOV2009     0.12749
 EPG      13SEP2005    -0.00489
 EPG      17FEB2006     0.03594
 EPG      21OCT2009    -0.09379
 EPG      22FEB2007     0.04267
 EPG      24OCT2006     0.20384
 EPG      26JUN2008    -0.00867
 EPG      26SEP2008     0.04055
 DELL     01AUG2007    -0.00174
 DELL     01NOV2005    -0.08174
 DELL     01NOV2006     0.04053
 DELL     02JUL2001     0.02978
 DELL     02SEP2003     0.03528
 DELL     05AUG2002     0.01406
 DELL     04OCT2005    -0.02880
 DELL     04OCT2006    -0.01548
 DELL     04SEP2001     0.07590
 DELL     06AUG2007    -0.05701
 DELL     05JAN2001     0.06562
